Project,Block,Module,Part,Issue,Design Element,Design Factor,评审主体,评审对象,审核项,审核项状态,评审项更新者,Phase,Reviewer,Status,Notes,Quantization Status
X:Pike,2.Power,Backlight,,,,,1.Mainboard,1.SCH,"1.芯片及外围器件电流，电压是否满足屏幕需求
 2.芯片电流设置是否准确
 3.芯片OVP电压设置是否准确
 4.EMI辐射大的芯片输出电压上是否串磁珠
 5.原理图上VSP,VSN的EN信号需要使用不同的GPIO控制(LCD Bias ±5V)",适用,常芳梅,EVB,廖哲霖,Working,,
X:Pike,2.Power,DC-DC,,,,,1.Mainboard,1.SCH,原理图：1.确认所选DC-DC型号为输出电压可调还是不可调;确认输出电流是否满足应用需求 2.确认原理图接入的输入电压是否在DC-DC的工作范围内，根据参考线路留对应滤波电容 3.确认输出电压是否调到正确的值，对于可调型DC-DC，需注意FB电阻值按照厂商提供计算表格计算得到，这样可根据所选的电感进行计算以保证效率，纹波等参数;FB pin预留电容到GND 4.EN pin上预留电阻到GND，以防止出现floating状态使DC-DC误触发,适用,吴学敏,EVB,吴学敏,NA,,0
X:Pike,2.Power,LDO,,,,,1.Mainboard,1.SCH,"物料选用及原理图：
 1.LDO负载能力及输出电压是否满足用电端的需求
 2.LDO控制信号是否默认状态下为Disable
 3.LDO是否使用了推荐物料
 4.输入电压是否在LDO spec内
 5.输入输出电容值选择是否合适
 6.对于可调LDO,FB上下电阻阻值选择是否合适
7.LDO输入输出压差是否符合spec要求",适用,吴学敏,EVB,吴学敏,Pass,,1
X:Pike,2.Power,Power Inductor,,,,,1.Mainboard,1.SCH,确认电感饱和电流和DCR是否符合各模块的设计要求,适用,吴学敏,EVB,吴学敏,Pass,,1
X:Pike,2.Power,PDN,,,,,1.Mainboard,4.Routing,是否符合平台PDN checklist,适用,吴学敏,EVB,吴学敏,Pass,,1
X:Pike,2.Power,Backlight,,,,,1.Mainboard,4.Routing,信号回路是否较短（输入输入电容的地和芯片地走线短，最好先连通后导入主地）,适用,常芳梅,EVB,廖哲霖,Working,,
X:Pike,2.Power,Backlight,,,,,1.Mainboard,4.Routing,电源线宽度是否满足背光需求（注意SW为大电流管脚）,适用,常芳梅,EVB,廖哲霖,Working,,
X:Pike,2.Power,Backlight,,,,,1.Mainboard,4.Routing,电感二极管下方是否有敏感信号（最好完整铺地）,适用,常芳梅,EVB,廖哲霖,Working,,
X:Pike,2.Power,DC-DC,,,,,1.Mainboard,4.Routing,"Layout: 
1.输入滤波电容尽可能近的靠DC-DC Vin pin摆放 
2.FB上下电阻,滤波电容尽可能靠近DC-DC对应pin摆放，远离高速及开关信号 
3.输出电感靠近SW摆放，SW pin及电感输入端走线需要足够宽，换层处VIA要打足够",适用,吴学敏,EVB,吴学敏,Pass,,1
X:Pike,2.Power,PMIC,,,,,1.Mainboard,4.Routing,PMIC地平面保持完整，至少有一层完成的GND平面，确保快速的回流路径,适用,吴学敏,EVB,吴学敏,Pass,,1
X:Pike,2.Power,LDO,,,,,1.Mainboard,4.Routing,"Layout: 1.输入输出滤波电容尽可能近的靠LDO对应pin摆放 
2.对于可调LDO，FB上下电阻,滤波电容尽可能靠近LDO对应pin摆放，远离高速及开关信号",适用,吴学敏,EVB,吴学敏,Pass,,1
X:Pike,2.Power,battery,,,,,1.Mainboard,4.Routing,电池部件和主板实物顺序匹配,适用,李果,EVB,李果,Working,,
X:Pike,2.Power,battery,,,,,1.Mainboard,4.Routing,电池连接器的正负极检查确认？,适用,李果,EVB,李果,Working,,
X:Pike,2.Power,Power Inductor,,,,,1.Mainboard,4.Routing,"所有信号不能直接从功率电感下方穿过，电感下方第二层铺地，信号绕过这块区域，高速信号(如USB，MIPI),I2C信号及模拟信号距离开关信号至少20mil",适用,吴学敏,EVB,吴学敏,Pass,,1
X:Pike,2.Power,PCB,,,,,1.Mainboard,1.SCH,"对高通平台,平台Bulk电源的PDN小电容(≤2.2uf)数量需要为QRD参考设计的1.3~1.5倍,且需要使用2.2uf/0201堆叠，待堆叠完成后更改回原始数值(1.0uf,0.1uf等）",适用,吴学敏,EVB,吴学敏,NA,,0
X:Pike,3.Charging,Charge,,EOS,,,1.Mainboard,1.SCH,Vbus信号上的所有电容耐压值要25V或者之上,适用,陈文亭,EVB,陈文亭,Pass, 同Aviator，没有更改,1
X:Pike,3.Charging,Charge,,,,,1.Mainboard,1.SCH,Battery Vbat&GND sence P 和 M 对应,适用,陈文亭,EVB,陈文亭,Pass, 同Aviator，没有更改,1
X:Pike,3.Charging,Charge,,,,,1.Mainboard,1.SCH,VZW SKU Need PD2.0 or higher,适用,陈文亭,EVB,陈文亭,Pass, 同Aviator，没有更改,
X:Pike,3.Charging,Charge,,,,,1.Mainboard,1.SCH,68W 及以上的双CP设计，将双CP都设计为standalone mode ，注意I2C地址不能出现冲突问题。,适用,陈文亭,EVB,陈文亭,Pass, 同Aviator，没有更改,
X:Pike,3.Charging,Charge,,,,,1.Mainboard,1.SCH, 充电IC的 Vbus 和 Vbat  需要确认正确的和外部主网络连接上.,适用,陈文亭,EVB,陈文亭,Pass, 同Aviator，没有更改,1
X:Pike,3.Charging,Charge,,,,,1.Mainboard,4.Routing,Battery Vbat&GND sence P 和 M 差分走线，从电池连接器单独拉到PMIC,适用,陈文亭,EVB,陈文亭,Pass, 同Aviator，没有更改,1
X:Pike,3.Charging,Charge,,,,,1.Mainboard,4.Routing,充电接口如果是在小板上，需要考虑连接器上VBUS信号的pin数，及FPC上VBUS信号的宽度，过孔数量，是否能够满足电流需求。,适用,陈文亭,EVB,陈文亭,Pass, 同Aviator，没有更改,
X:Pike,3.Charging,Charge,,,,,1.Mainboard,4.Routing,两个CP的项目，需要考虑左右通道阻抗匹配性（包括Vubs 和Vbat 两段）,适用,陈文亭,EVB,陈文亭,NA,一个CP,0
X:Pike,4.Audio,MIC,,,,,1.Mainboard,1.SCH,耳机MIC靠近天线时需预留磁珠以防TDMA噪声，磁珠靠近mic本体放置,适用,肖志浩,EVB,肖志浩,Working,,
X:Pike,4.Audio,MIC,,,,,1.Mainboard,1.SCH,Si mic负极必须接地,适用,肖志浩,EVB,肖志浩,Working,,
X:Pike,4.Audio,MIC,,,Grounding,,1.Mainboard,3.Placement,0603，0402 在SYS电源上的电容，需要离听筒10MM以上,适用,肖志浩,EVB,肖志浩,Working,,
X:Pike,4.Audio,MIC,,,,,1.Mainboard,4.Routing,MIC真假差分线并行走线，上下左右包地,适用,肖志浩,EVB,肖志浩,Working,,
X:Pike,4.Audio,MIC,,,,,1.Mainboard,4.Routing,高通平台MIC的真差分地需要预留0 ohm电阻接到PMU的音频地，在PMIC附近单点下主地,适用,肖志浩,EVB,肖志浩,Working,,
X:Pike,4.Audio,MIC,,,,,1.Mainboard,4.Routing,焊接式mic白油图上需要标示+-极，标识符号避免与信号PAD短路。,适用,肖志浩,EVB,肖志浩,Working,,
X:Pike,4.Audio,MIC,,SMT,Pad Design,,1.Mainboard,4.Routing,"目的：避免板下Mic 环形焊盘盘采用冷焊盘设计导致焊锡流动性差导致焊接未合拢
方案：1.Mic 环形密封焊盘上地孔数量<= 3个
2.接地孔避开钢网支撑筋
-fanlf 2017-8-31",适用,肖志浩,EVB,肖志浩,Working,,
X:Pike,4.Audio,MIC,,,,,1.Mainboard,4.Routing,MIC背面开窗露铜，MIC出声孔位置核对（特别注意焊盘对称的上出声MIC),适用,肖志浩,EVB,肖志浩,Working,,
X:Pike,4.Audio,SPK,,,,,1.Mainboard,1.SCH,"在SPK电路上总的电容不要超过1000pF,包括by-pass电容，ESD器件，BEAD-C滤波器",适用,肖志浩,EVB,肖志浩,Working,,
X:Pike,4.Audio,SPK,,,,,1.Mainboard,1.SCH,SPK线路走在FPC上时，连接器需要选用2个pin及以上为一个信号,适用,肖志浩,EVB,肖志浩,Working,,
X:Pike,4.Audio,SPK,,,,,1.Mainboard,1.SCH, 注意核对PA输出脚和SENSE脚有无接错,适用,肖志浩,EVB,肖志浩,Working,,
X:Pike,4.Audio,SPK,,,,,1.Mainboard,2.Stacking,在以下三个条件都符合的情况下，电池连接器需要和GSM PA水平方向的同半边（1.半板，2.二合一喇叭，3.喇叭靠近主波并位于水平方向的中部,适用,肖志浩,EVB,肖志浩,Working,,
X:Pike,4.Audio,SPK,,,,,1.Mainboard,3.Placement,SPK要核对信号定义，确保和ME相关匹配；特别关注双SPK的极性，磁缸接地脚顺序,适用,肖志浩,EVB,肖志浩,Working,,
X:Pike,4.Audio,SPK,,,,,1.Mainboard,4.Routing,SPK后端并行走线，上下左右包地；normal线宽0.7mm；功放距离SPK较远时，线宽需要加粗,适用,肖志浩,EVB,肖志浩,Working,,
X:Pike,4.Audio,SPK,,,,,1.Mainboard,4.Routing,焊接式SPK白油图上需要标示+-极，标识符号避免与信号PAD短路。,适用,肖志浩,EVB,肖志浩,Working,,
X:Pike,4.Audio,Receiver,,,,,1.Mainboard,1.SCH,Receiver上预留磁珠，靠近本体放置,适用,肖志浩,EVB,肖志浩,Working,,
X:Pike,4.Audio,Receiver,,,,,1.Mainboard,2.Stacking,若IO放在Receiver背面，需在IO上加绝缘膜，防止漏磁粉到receiver上,适用,肖志浩,EVB,肖志浩,Working,,
X:Pike,4.Audio,Receiver,,ESD,,,1.Mainboard,2.Stacking,,适用,李果,EVB,肖志浩,Working,,
X:Pike,4.Audio,Receiver,,,,,1.Mainboard,4.Routing,"Receiver线宽0.2mm,并行走线，上下左右包地",适用,肖志浩,EVB,肖志浩,Working,,
X:Pike,4.Audio,Receiver,,ESD,,,1.Mainboard,4.Routing,ESD器件靠近REV本体放置，并置于走线干路上。,适用,肖志浩,EVB,廖哲霖,Working,,
X:Pike,4.Audio,Receiver,,,,,1.Mainboard,4.Routing,LDO驱动的马达需要尽量靠近马达，无法做到需加粗走线，确认压降,适用,肖志浩,EVB,肖志浩,Working,,
X:Pike,4.Audio,Recerver,,,,,1.Mainboard,3.Placement,"Receiver 要核对信号定义，确保和ME相关匹配,特别要注意磁缸接地脚顺序",适用,肖志浩,EVB,肖志浩,Working,,
X:Pike,4.Audio,PA,,,,,1.Mainboard,1.SCH,确认Power supply连接正确，功耗符合需求。如果需要串入磁珠，需要确认磁珠额定电流选择符合PA功耗spec,适用,肖志浩,EVB,肖志浩,Working,,
X:Pike,4.Audio,PA,,,,,1.Mainboard,1.SCH,确认控制信号与CPU连接正确： I2S EN CLK等，并设计测试点以供测试。EN使用默认为PD的IO口,适用,肖志浩,EVB,肖志浩,Working,,
X:Pike,4.Audio,PA,,SPK输出截止,,,1.Mainboard,1.SCH,"Smart PA 输出端器件需要符合PA输出端的耐压值。（例如：kuntao项目Smart PA输出VPP：+/-8V,TVS需要选12V工作电压型号）",适用,肖志浩,EVB,肖志浩,Working,,
X:Pike,4.Audio,PA,,,,,1.Mainboard,1.SCH,PA输出预留0603 0 ohm 电阻，以防TDMA噪声时更换为磁珠或电感，要求其RDC<0.2ohm，额定电流>1A(普通Audio PA)/1.4A(Smart PA)，磁珠靠近SPK本体放置。,适用,肖志浩,EVB,肖志浩,Working,,
X:Pike,4.Audio,PA,,,,,1.Mainboard,2.Stacking,"立体声项目，GSM PA需要靠近电池连接器,如无法做到，也要离RECEIVER 25MM以上",适用,肖志浩,EVB,肖志浩,Working,,
X:Pike,4.Audio,PA,,,,,1.Mainboard,4.Routing,符合spec的Layout Guidelines,适用,肖志浩,EVB,肖志浩,Working,,
X:Pike,4.Audio,PA,,,,,1.Mainboard,4.Routing,供给Audio使用的VSYS，必须从电池根部拉出，不能使用其它分支。,适用,肖志浩,EVB,肖志浩,Working,,
X:Pike,4.Audio,PA, 绕线电感,,,,2.Sub-Board,3.Placement,绕线电感不要靠近板边,适用,肖志浩,EVB,肖志浩,Working,,
X:Pike,4.Audio,Codec,,,,,1.Mainboard,1.SCH,确认电路设计符合codec application information,适用,肖志浩,EVB,肖志浩,Working,,
X:Pike,4.Audio,Codec,,,,,1.Mainboard,1.SCH,确认控制信号与CPU连接正确：EN I2S SPI INT等，并设计测试点以供测试。EN使用默认为PD的IO口,适用,肖志浩,EVB,肖志浩,Working,,
X:Pike,4.Audio,Codec,,,,,1.Mainboard,1.SCH,确认CLK选取符合codec spec,适用,肖志浩,EVB,肖志浩,Working,,
X:Pike,4.Audio,Codec,,,,,1.Mainboard,1.SCH,确认输入的音频模拟信号正确：MIC,适用,肖志浩,EVB,肖志浩,Working,,
X:Pike,4.Audio,Codec,,,,,1.Mainboard,1.SCH,确认电路设计符合codec application information,适用,肖志浩,EVB,肖志浩,Working,,
X:Pike,4.Audio,Earphone,,,,,1.Mainboard,1.SCH,Audio eraphone switch EN使用默认为PD的IO口,适用,肖志浩,EVB,肖志浩,Working,,
X:Pike,4.Audio,Earphone,,,,,1.Mainboard,1.SCH,Audio eraphone switch Power supply：使用VSYS供电时，需要查看是否超过swich的max，如超过需要分压。用VSYS供电时，预留磁珠。,适用,肖志浩,EVB,肖志浩,Working,,
X:Pike,4.Audio,Earphone,,,,,1.Mainboard,1.SCH,"MTK平台耳机检测采用DET+INT的方式，DET加上拉470K电阻，DET与芯片输入端之间加1K电阻；DET 与中断之间加47K电阻。
Qualcomm平台耳机检测方式采用DET方式，DET无上拉，对于NO型耳机座，DET与芯片输入端加20K电阻，需要根据相应平台的Audio设计指导进行核对。根据平台参考设计调整。",适用,肖志浩,EVB,肖志浩,Working,,
X:Pike,4.Audio,Earphone,,,,,1.Mainboard,1.SCH,耳机与SPK输入共用时，耳机中断需加一个100nF电容，防止中断误触发,适用,肖志浩,EVB,肖志浩,Working,,
X:Pike,4.Audio,Earphone,,,Pad Design,,1.Mainboard,2.Stacking,"TYPE-C 耳机：USB和耳机左右声道切换开关靠近TYPE-C插座,或者有单独的REF通道",适用,肖志浩,EVB,肖志浩,Working,,
X:Pike,4.Audio,Earphone,,,Pad Design,,1.Mainboard,2.Stacking,,适用,肖志浩,EVB,肖志浩,Working,,
X:Pike,4.Audio,Earphone,,,,,1.Mainboard,4.Routing,耳机左右声道线宽0.2mm，包地，中间用地隔离。因空间问题中间不能隔地时需满足3W原则,适用,肖志浩,EVB,肖志浩,Working,,
X:Pike,4.Audio,Earphone,,ESD,,,1.Mainboard,4.Routing,Mic，R，L，INT，GND（兼容欧美标的需要）必须使用TVS，且器件紧靠近耳机连接器放置，并置于走线干路上。,适用,李果,EVB,肖志浩,Working,,
X:Pike,4.Audio,Earphone,,,,,1.Mainboard,4.Routing,供给Audio eraphone switch使用的power supply需从根部拉出，不予其它分支共用。,适用,肖志浩,EVB,肖志浩,Working,,
X:Pike,4.Audio,Motor,,,选型,,1.Mainboard,1.SCH,Motor选型必须满足标准库,适用,肖志浩,EVB,肖志浩,Working,,
X:Pike,4.Audio,Motor,,,电源匹配,,1.Mainboard,1.SCH,Motor 工作时2端工作电压必须满足SPEC要求（建议2.5V以上，可参考motor 库里信息）,适用,肖志浩,EVB,肖志浩,Working,,
X:Pike,4.Audio,Motor,,,,,1.Mainboard,4.Routing,贴片马达焊盘的定位金线非GND信号,适用,肖志浩,EVB,肖志浩,Working,,
X:Pike,4.Audio,Motor,,,,,1.Mainboard,4.Routing,连接器如果在天线净空区，需要考虑多层打孔加强PAD强度,适用,肖志浩,EVB,肖志浩,Working,,
X:Pike,4.Audio,Motor,,,,,1.Mainboard,4.Routing,Motor封装 白油图上务必有极性标识,适用,肖志浩,EVB,肖志浩,Working,,
X:Pike,4.Audio,4.Audio,,Noise,,,1.Mainboard,4.Routing,Psensor电源线禁止走在REV、SPK、MIC、 耳机con正下方,适用,肖志浩,EVB,肖志浩,Working,,
X:Pike,4.Audio,4.Audio,,,,,1.Mainboard,4.Routing,PCB的TOP层和BOT层尽量不要走线，或走线要短，即使需要走线，请用Sheild保护，防止辐射进入内层线,适用,肖志浩,EVB,肖志浩,Working,,
X:Pike,4.Audio,4.Audio,,,,,1.Mainboard,4.Routing,"所有的AUDIO走线要尽可能远离大电流的走线和器件,要用地进行屏蔽",适用,肖志浩,EVB,肖志浩,Working,,
X:Pike,4.Audio,4.Audio,,,,,1.Mainboard,4.Routing,Audio 参考地及电源连接的电容靠近PMIC摆放并单点下主地,适用,肖志浩,EVB,肖志浩,Working,,
X:Pike,5.Camera,camera,,,,,1.Mainboard,1.SCH,核对Camera PMIC I2C地址，是否与总线上的其他设备冲突。如有二供器件，需要同步检查，更新到Qwiki表格中。,适用,吴学敏,EVB,吴学敏,Pass,,1
X:Pike,5.Camera,camera,,,,,1.Mainboard,1.SCH,Mipi 总线顺序核对。 P和N 或者M 要特别关注，范围： CPU CSI的pin  -》 CPU端及camera端总线 P& N 以及对应的数字编号-》camera端的P&N。如有mipi Switch 还要加上switch 的顺序确认。,适用,常芳梅,EVB,常芳梅,Working,,
X:Pike,5.Camera,camera,,,,,1.Mainboard,1.SCH,"AVDD,DVDD,DOVDD,AF供电电压和电流是否符合模组spec",适用,常芳梅,EVB,常芳梅,Working,,
X:Pike,5.Camera,camera,,,,,1.Mainboard,1.SCH,"前后置摄像头IIC地址无冲突,
camera I2C上拉电阻：
1. 高通平台，1M 速率需要有外部上拉1.5K电阻， 400K 速率可以搭配外部上拉2.2K （需要确认高通平台是否有内部上拉）
2. MTK平台内部有上拉电阻，可以支持camera i2C 1M及其以下速率，不需要外部上拉",适用,常芳梅,EVB,常芳梅,Working,,
X:Pike,5.Camera,camera,,,,,1.Mainboard,1.SCH,"1. OIS_VDD无单独的LDO供电得需求。 OIS LDO EN GPIO 没有需求,接到SCP或者是CPU接口都可以 ",适用,常芳梅,EVB,常芳梅,Working,,
X:Pike,5.Camera,camera,,,,,1.Mainboard,1.SCH,"关于SOIS模组主板设计要求如下：
1.        SOIS_IIC要求单独使用一组sensor hub端的IIC接口，上拉要求与主板上其它传感器接一起，sensor hub控制
2.       SOIS_VDD使用单独的LDO供电，并且LDO EN接口需要接SCP侧的GPIO
3.        SOIS_GPIO要求接sensor hub带中断功能的GPIO
4.        SOIS 模组Gyro Aux端 SPI需接到主板 sensor hub 端SPI",适用,常芳梅,EVB,常芳梅,Working,,
X:Pike,5.Camera,camera,,,,,1.Mainboard,1.SCH,模组Vsync不需要接到平台GPIO，只需要后摄几颗模组连接到一起。此点最好每次和KP做确认下。,适用,常芳梅,EVB,常芳梅,Working,,
X:Pike,5.Camera,激光对焦,,,,,1.Mainboard,1.SCH,确认控制信号选取正确。IIC是否有上拉电阻。,适用,常芳梅,EVB,常芳梅,Working,,
X:Pike,5.Camera,闪光灯驱动,,,,,1.Mainboard,1.SCH,"信号连接：1 电源选取符合spec需求
                    2 控制信号连接正确",适用,常芳梅,EVB,常芳梅,Working,,
X:Pike,5.Camera,闪光灯驱动,,,,,1.Mainboard,1.SCH,"闪光灯电流配置正确：1 匹配电阻值选择正确
                                        2 电阻精度1%",适用,常芳梅,EVB,常芳梅,Working,,
X:Pike,5.Camera,Flash LED,,,,,1.Mainboard,1.SCH,确认连接方式及驱动方式（平台集成还是外部IC)；确认闪光灯是否推荐型号,适用,常芳梅,EVB,常芳梅,Working,,
X:Pike,5.Camera,Flash LED,,,,,1.Mainboard,1.SCH,双色灯，冷灯接PMIC FLASH_LED1，暖灯接PMIC FLASH_LED2. 因Moto软件默认闪光灯此配置,适用,常芳梅,EVB,常芳梅,Working,,
X:Pike,5.Camera,camera,,,,,1.Mainboard,4.Routing,camera: Camera FPC 下不可以有RF Triplexer 器件（N77&N78 ），会干扰camera,适用,常芳梅,EVB,常芳梅,Working,,
X:Pike,5.Camera,camera,,,,,1.Mainboard,4.Routing,Camera模组架板上，模组投影面所有层不能有大的脉冲电流（如Buck/Boost电源走线，VBUS，VSYS，WLC_IN等）。以免出现Noise干扰。（LondonNA/Boston广角出现）。若无法避开，需要底部加隔磁片,适用,常芳梅,EVB,常芳梅,Working,,
X:Pike,5.Camera,camera,,,,,1.Mainboard,2.Stacking,Camera模组架屏蔽盖上，模组下方不能有Buck/Boost电感。电感磁场会影响CameraSensor，出现Noise。,适用,常芳梅,EVB,常芳梅,Working,,
X:Pike,5.Camera,camera,,,,,1.Mainboard,4.Routing,连接器Pin 定义，PCB net 名称是否和camera SPEC完全对应上（剪纸法确认）,适用,常芳梅,EVB,常芳梅,Working,,
X:Pike,5.Camera,camera,,,,,1.Mainboard,4.Routing,AVDD/DVDD上下左右包地，线宽至少8mil,适用,陈邦,EVB,常芳梅,Working,,
X:Pike,5.Camera,camera,,,,,1.Mainboard,4.Routing,Camera AGND需要单独拉到与AVDD LDO的GND连接，再单点下到MainGND,适用,陈邦,EVB,常芳梅,Working,,
X:Pike,5.Camera,camera,,,,,1.Mainboard,4.Routing," 2.8V AVDD LDO输入电源和大功耗器件输入都用B_PLUS，需从PMIC B_PLUS输出星形走线。如shelby大功耗器件 Audio pa抽大电流，拉低B_plus, AVDD LDO输入低于2.8V，图像产生竖条纹",适用,常芳梅,EVB,常芳梅,Working,,
X:Pike,5.Camera,camera,,,,,1.Mainboard,4.Routing,电源需经过滤波电容后到连接器pin脚,适用,陈邦,EVB,常芳梅,Working,,
X:Pike,5.Camera,camera,,,,,1.Mainboard,4.Routing,Camera MCLK需走内层上下左右包地,适用,陈邦,EVB,常芳梅,Working,,
X:Pike,5.Camera,MIPI_CSI,,,,,1.Mainboard,4.Routing,MIPI差分线需要上下左右包地，若空间不足，则上下隔层参考。Clock要做到GND shielding。,适用,陈邦,EVB,常芳梅,Working,,
